"Close/Last","Open"
100.87,102.2
99.1,101
98.7,99.2
98.7,98.7
100.71,99.66
100.59,100.91
100.39,101.14
98.46,98.95
99.58,98.34
98.95,99.88
99.4,99.2
99.7,99.96
99.56,99.93
98.78,100
98.48,98.88
97.61,98.38
96.36,97.11
97.84,96.61
96.91,97.74
98.41,97.13
98.71,98.77
99.84,99.1
98.67,97.9
100.91,100.71
100.74,100.73
101.8,100.9
102.31,101.9
103.24,102.35
103.24,103.24
105.84,104.9
106.28,106.01
107.83,105.95
109.77,108.66
108.56,109.67
106.55,107.95
107.07,106.46
108.84,106.82
106.7,108.75
106.72,106.75
104.7,107.11
106.16,104.93
106.58,106.24
107.4,106.91
106.34,107.5
106.71,106.55
105.43,106.69
105.11,105.5
107.06,105.44
108.09,107.18
105.61,107.82
107.27,106.33
105.35,106.81
106.87,105.52
107.03,106.79
107.33,107.09
105.41,106.81
102.78,105.58
103.02,103.29
105.23,103.27
104.01,105.04
101.47,104.09
103.31,101.96
103.31,103.31
102.46,102.53
101.02,102.33
102.7,102.7
103.64,102.55
102.83,103.66
102.93,102.8
104.2,103.16
102.67,104.22
102.27,102.73
103.05,102.57
103.11,103.82
103.55,103.11
104.12,103.76
104.55,103.96
104.93,104.1
104.87,104.93
106.16,104.89
105.22,105.98
102.54,105.39
98.49,102.59
97.94,98.05
97.01,97.96
96.81,97.38
97.08,96.45
96.13,96.53
94.78,94.32
93.98,93.91
92.81,93.16
92.56,93.5
91.48,92.86
92.57,91.27
91.66,92.64
89.9,91.54
90.66,90.53
90.86,90.79
90.86,90.86
90.76,91.17
87.82,90.86
86.53,87.55
83.23,84.4
83.98,82.96
84.29,84.14
85.02,84.12
84.82,85.5
84.1,83.63
82.7,85.72
83.32,81.18
82.62,83.51
83.91,82.44
84.03,84.33
83.27,85.09
84.03,83.06
81.8,84.04
78.2,78.2
79.76,78.11
79.21,80.2
79.36,79.23
80.21,79.47
77.69,80.48
84.96,78.46
83.75,84.65
87.66,83.67
87.66,87.66
87.22,87.06
84.45,86.73
85.99,84.2
83.91,85.84
85.81,84.01
86.08,86.2
87.1,85.86
88.43,87.13
89.22,88.26
89.87,89.13
92.66,90.08
91.44,92.22
88.14,91.61
88.5,88.05
88.97,88.2
89.39,89.1
90.13,89.43
89.78,90.14
88.06,88.05
88.91,88.03
87.13,88.87
91.4,87.26
92.2,91.34
93.67,93.41
93.35,93.41
93.36,93.43
92.87,93.46
92.73,93.25
93.43,92.71
94.33,93.25
95.6,94.21
96.01,95.23
95.97,96.36
96.68,95.97
97.26,96.94
96.27,97.3
96.15,96.06
95.47,96.67
96.33,95.66
95.49,96.08
94.62,94.55
96.47,94.75
96.47,96.47
95.3,96.96
95.36,95.61
95.53,96
96.42,94.7
96.54,96.24
97.17,96.29
97.01,96.85
98.31,96.93
99,98.04
96.62,99.15
95.29,96.71
91.98,95.49
91.87,91.77
92.89,92.93
91.93,93.18
91.37,92.11
89.98,90.82
91.85,90.08
92.19,92.35
92.48,92.15
91.89,92.41
88.14,91.64
91.71,88.01
89.88,91.51
89.33,89.62
92.39,89.62
91.25,92.26
92.07,91.27
91.86,92.41
91.85,91.63
92.09,91.76
92.12,92.08
92.1,92.06
90.05,92.04
88.73,89.52
86.67,89.14
85.73,86.6
86.05,85.65
85.68,85.31
85.68,85.68
85.68,85.68
86.24,85.73
87.09,86.1
84.86,86.91
